2023-06-08 08:13:19,969 INFO    StreamThr :162599 [internal.py:wandb_internal():86] W&B internal server running at pid: 162599, started at: 2023-06-08 08:13:19.969428
2023-06-08 08:13:19,970 DEBUG   HandlerThread:162599 [handler.py:handle_request():144] handle_request: status
2023-06-08 08:13:19,978 INFO    WriterThread:162599 [datastore.py:open_for_write():85] open: /home/ajvendetta/CassieRobot/wandb/run-20230608_081319-tni9wdl6/run-tni9wdl6.wandb
2023-06-08 08:13:19,979 DEBUG   SenderThread:162599 [sender.py:send():375] send: header
2023-06-08 08:13:20,002 DEBUG   SenderThread:162599 [sender.py:send():375] send: run
2023-06-08 08:13:20,361 INFO    SenderThread:162599 [dir_watcher.py:__init__():219] watching files in: /home/ajvendetta/CassieRobot/wandb/run-20230608_081319-tni9wdl6/files
2023-06-08 08:13:20,361 INFO    SenderThread:162599 [sender.py:_start_run_threads():1124] run started: tni9wdl6 with start time 1686204799.975646
2023-06-08 08:13:20,361 DEBUG   SenderThread:162599 [sender.py:send_request():402] send_request: summary_record
2023-06-08 08:13:20,362 INFO    SenderThread:162599 [sender.py:_save_file():1378] saving file wandb-summary.json with policy end
2023-06-08 08:13:20,362 DEBUG   HandlerThread:162599 [handler.py:handle_request():144] handle_request: check_version
2023-06-08 08:13:20,362 DEBUG   SenderThread:162599 [sender.py:send_request():402] send_request: check_version
2023-06-08 08:13:20,432 DEBUG   HandlerThread:162599 [handler.py:handle_request():144] handle_request: run_start
2023-06-08 08:13:20,439 DEBUG   HandlerThread:162599 [system_info.py:__init__():31] System info init
2023-06-08 08:13:20,439 DEBUG   HandlerThread:162599 [system_info.py:__init__():46] System info init done
2023-06-08 08:13:20,439 INFO    HandlerThread:162599 [system_monitor.py:start():181] Starting system monitor
2023-06-08 08:13:20,439 INFO    SystemMonitor:162599 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-06-08 08:13:20,440 INFO    HandlerThread:162599 [system_monitor.py:probe():201] Collecting system info
2023-06-08 08:13:20,440 INFO    SystemMonitor:162599 [interfaces.py:start():190] Started cpu monitoring
2023-06-08 08:13:20,441 INFO    SystemMonitor:162599 [interfaces.py:start():190] Started disk monitoring
2023-06-08 08:13:20,441 INFO    SystemMonitor:162599 [interfaces.py:start():190] Started gpu monitoring
2023-06-08 08:13:20,442 INFO    SystemMonitor:162599 [interfaces.py:start():190] Started memory monitoring
2023-06-08 08:13:20,442 INFO    SystemMonitor:162599 [interfaces.py:start():190] Started network monitoring
2023-06-08 08:13:20,448 DEBUG   HandlerThread:162599 [system_info.py:probe():195] Probing system
2023-06-08 08:13:20,452 DEBUG   HandlerThread:162599 [system_info.py:_probe_git():180] Probing git
2023-06-08 08:13:20,459 DEBUG   HandlerThread:162599 [system_info.py:_probe_git():188] Probing git done
2023-06-08 08:13:20,459 DEBUG   HandlerThread:162599 [system_info.py:probe():240] Probing system done
